Wall time,Step,Value
1714258446.2282941,0,0.4395483434200287
1714262268.1404207,1,0.3380044400691986
1714263566.248261,2,0.31260979175567627
1714266261.873034,3,0.2985236346721649
1714267842.9635594,4,0.28857162594795227
1714269048.0679004,5,0.2828693985939026
1714270275.8583531,6,0.27981793880462646
1714271642.4257717,7,0.2753746807575226
1714273057.5274732,8,0.2728758156299591
1714274385.4598866,9,0.26739442348480225
1714275587.0159547,10,0.26638343930244446
1714276884.9789026,11,0.26418086886405945
1714278123.5570157,12,0.2621558904647827
1714279622.404843,13,0.2604990303516388
1714280969.5584745,14,0.25908803939819336
1714282209.1033363,15,0.25929147005081177
1714283443.724967,16,0.2569965124130249
1714284634.8469477,17,0.25791651010513306
1714286188.546586,18,0.25716811418533325
1714287653.1576207,19,0.2545258700847626
1714289010.136944,20,0.2543487250804901
1714290512.0288894,21,0.25328317284584045
1714292023.442212,22,0.252383828163147
1714293483.2928953,23,0.2512296438217163
1714294826.5662425,24,0.25078654289245605
1714296043.0740716,25,0.2512732148170471
1714297429.3831506,26,0.24852369725704193
1714298815.8625004,27,0.24868805706501007
1714300176.5565739,28,0.2485215663909912
1714301641.64587,29,0.24812929332256317
1714302965.9220421,30,0.24703450500965118
1714304789.1613398,31,0.24635203182697296
1714306229.5048923,32,0.24677321314811707
1714307859.0059323,33,0.2473016083240509
1714309413.3504746,34,0.24649976193904877
1714310769.0788574,35,0.24592161178588867
1714312302.2087915,36,0.24577879905700684
1714313720.858459,37,0.24551373720169067
1714315541.579042,38,0.24597212672233582
1714317156.640878,39,0.24427764117717743
1714319520.656235,40,0.24386991560459137
1714322412.9371576,41,0.24464824795722961
1714324073.8040097,42,0.24329043924808502
1714325853.3766658,43,0.24301154911518097
1714327543.1108623,44,0.24227894842624664
1714328964.61273,45,0.2432088851928711
1714330678.2643228,46,0.2433837652206421
1714332364.9223146,47,0.2418517768383026
1714334009.7236917,48,0.242932990193367
1714335567.6363041,49,0.24115632474422455
1714339149.3401344,50,0.24214667081832886
1714344646.501579,51,0.24105007946491241
1714385440.0154955,52,0.24162985384464264
1714386751.3289251,53,0.24200382828712463
1714388355.057176,54,0.24179966747760773
1714389638.1951995,55,0.2411649227142334
1714390694.281727,56,0.2418936789035797
1714391673.6693556,57,0.24108527600765228
1714392644.848381,58,0.24103616178035736
1714393613.7366683,59,0.24014107882976532
1714394595.4362314,60,0.24119897186756134
1714395584.1097472,61,0.2383151650428772
1714396617.9163966,62,0.24042078852653503
1714397633.2189531,63,0.2402719408273697
1714398649.9065077,64,0.23731230199337006
1714399671.4147131,65,0.23894469439983368
1714400682.4967275,66,0.2379794418811798
1714401702.2746222,67,0.23964856564998627
1714402744.9851031,68,0.2394396811723709
1714403780.3260233,69,0.23961204290390015
1714404775.6710238,70,0.239988774061203
1714405749.0893557,71,0.23876681923866272
1714406724.7939472,72,0.2392178177833557
1714407692.5997488,73,0.23762619495391846
1714408671.1048703,74,0.23841539025306702
1714409654.048885,75,0.23745134472846985
1714410629.8653717,76,0.23784294724464417
1714411608.6955378,77,0.2382797747850418
1714412591.0846462,78,0.23984874784946442
1714413570.144939,79,0.23709726333618164
1714414547.374243,80,0.23788121342658997
1714415525.9031086,81,0.23688781261444092
1714416505.0171368,82,0.23549263179302216
1714417481.8596144,83,0.235850989818573
1714418463.096748,84,0.2371852844953537
1714419441.059347,85,0.23684793710708618
1714420416.9586856,86,0.23639407753944397
1714421383.0556643,87,0.23738490045070648
1714422344.8774993,88,0.23698307573795319
1714423308.3519232,89,0.23777242004871368
1714424272.3200972,90,0.2370939552783966
1714425233.3952968,91,0.23701590299606323
1714426198.5105047,92,0.23657889664173126
1714427162.9981174,93,0.23702245950698853
1714428146.9149935,94,0.23742391169071198
1714429120.2768955,95,0.23563313484191895
1714430087.6438143,96,0.23684854805469513
1714431186.217658,97,0.23543627560138702
1714432199.8358452,98,0.2361576408147812
1714433215.364421,99,0.23573629558086395
